Close/Last,Volume,Open,High,Low,Day
513.97,1143952,515.12,519.35,512.21,1044
514.48,2393187,524.76,526.32,514.20,1045
527.33,1908529,527.69,530.40,520.50,1046
528.91,3893964,530.05,532.62,521.15,1047
534.45,4502692,533.20,536.37,526.02,1048
532.90,3193377,529.00,535.49,526.44,1049
524.83,3682392,520.11,527.38,517.69,1050
519.78,3398209,518.50,524.70,513.56,1051
522.42,5770424,505.44,524.16,501.18,1052
503.22,3210928,495.00,503.34,494.85,1053
501.09,3018203,494.56,503.77,492.91,1054
493.60,4178768,510.53,514.50,491.29,1055
512.66,4228950,517.90,521.49,505.55,1056
515.78,4289293,500.01,517.76,497.77,1057
498.31,3666243,497.50,504.50,493.64,1058
497.52,2826116,502.99,508.77,496.04,1059
503.38,3028358,501.62,506.80,493.50,1060
504.58,5063234,492.34,509.47,491.98,1061
490.70,3530940,490.08,492.55,481.27,1062
491.36,2805762,486.58,493.25,481.85,1063
485.00,3598629,485.13,486.90,478.92,1064
482.88,3557894,478.84,484.05,475.89,1065
476.62,5416571,490.46,491.15,475.84,1066
488.24,4255924,485.22,494.76,481.57,1067
484.67,2254653,482.00,487.80,480.47,1068
481.79,3629237,481.95,488.61,477.72,1069
480.63,3698082,480.12,487.51,478.85,1070
479.10,3953563,480.00,485.58,477.30,1071
482.84,3006510,486.77,488.94,477.80,1072
486.77,5071155,491.00,496.52,480.43,1073
490.76,5460532,483.00,491.68,478.26,1074
480.24,8306142,470.95,484.60,463.41,1075
470.50,10419680,485.54,495.85,467.26,1076
514.73,4236349,515.00,515.21,502.51,1077
513.76,5372781,506.56,518.73,503.45,1078
496.95,5137330,495.36,507.73,493.98,1079
487.22,3690213,484.93,495.31,478.76,1080
484.12,4408193,478.87,486.30,475.00,1081
475.74,7813897,502.01,505.88,472.21,1082
504.21,11120690,488.50,513.90,479.34,1083
486.24,5992731,486.36,494.00,483.28,1084
488.93,3627175,490.01,490.49,482.93,1085
488.24,6186087,487.03,496.82,478.90,1086
488.28,4927862,488.11,490.06,481.35,1087
485.23,6997922,494.69,495.14,482.00,1088
489.05,17405710,501.03,506.85,488.25,1089
525.42,10047180,528.14,533.78,522.26,1090
530.72,7567506,537.07,541.80,525.38,1091
530.79,6347363,549.50,554.33,530.03,1092
541.94,5113126,545.52,551.22,535.10,1093
541.45,9510081,562.61,572.49,541.00,1094
554.09,5602498,540.56,557.65,537.20,1095
539.81,5391074,548.81,551.81,538.24,1096
